Customer_No,Prediction,Probability_Prediction
90000,0,0.081517546
90001,0,0.131101225
90002,0,0.053801895
90003,0,0.084440728
90004,1,0.34154299
90005,0,0.086388292
90006,0,0.076878005
90007,0,0.089088542
90008,1,0.310309553
90009,0,0.060200168
90010,0,0.082373285
90011,0,0.087817723
90012,1,0.347005979
90013,0,0.071826984
90014,0,0.119367892
90015,0,0.123836017
90016,0,0.067977716
90017,0,0.078468836
90018,0,0.07535469
90019,0,0.100586897
90020,0,0.066849827
90021,0,0.096340093
90022,0,0.069034777
90023,0,0.066689278
90024,0,0.072397167
90025,0,0.054253029
90026,0,0.131274449
90027,0,0.074353891
90028,0,0.101510075
90029,0,0.059791588
90030,1,0.237866826
90031,0,0.047001302
90032,0,0.087266359
90033,1,0.280532989
90034,0,0.122788827
90035,0,0.171851799
90036,1,0.248271107
90037,0,0.102808952
90038,0,0.064812865
90039,0,0.072709321
90040,0,0.100759127
90041,0,0.217997521
90042,0,0.150695907
90043,0,0.103067941
90044,0,0.090917794
90045,0,0.135032127
90046,1,0.274578252
90047,0,0.116184674
90048,0,0.136049574
90049,0,0.075320518
90050,0,0.106016117
90051,0,0.067980075
90052,0,0.050684584
90053,0,0.095821975
90054,0,0.065988284
90055,0,0.212302062
90056,0,0.060022238
90057,0,0.080073824
90058,0,0.109412166
90059,0,0.177587199
90060,0,0.063094296
90061,0,0.073645087
90062,0,0.114506376
90063,0,0.058715747
90064,0,0.101991476
90065,0,0.128075705
90066,0,0.100613798
90067,0,0.104227824
90068,0,0.06806669
90069,0,0.101239161
90070,0,0.066908039
90071,0,0.123125541
90072,0,0.117796823
90073,0,0.060778625
90074,0,0.153377903
90075,0,0.065315228
90076,0,0.104916601
90077,0,0.122935976
90078,0,0.069622245
90079,0,0.049433635
90080,0,0.183024472
90081,0,0.078320188
90082,0,0.082605843
90083,0,0.08962139
90084,0,0.11160517
90085,0,0.072294236
90086,1,0.309089262
90087,0,0.086206599
90088,0,0.14417063
90089,0,0.157676805
90090,0,0.124470028
90091,0,0.097311044
90092,1,0.330917092
90093,1,0.346330064
90094,0,0.055441021
90095,0,0.129511836
90096,0,0.091762491
90097,1,0.225996851
90098,0,0.177229504
90099,0,0.067071009
90100,0,0.074474749
90101,0,0.079008846
90102,0,0.070994717
90103,0,0.068100823
90104,0,0.081761244
90105,0,0.063219998
90106,0,0.072869548
90107,0,0.068267594
90108,0,0.147654127
90109,0,0.047703327
90110,0,0.073470853
90111,0,0.053674654
90112,0,0.085686181
90113,0,0.125843533
90114,0,0.088777558
90115,1,0.244042861
90116,0,0.052948553
90117,1,0.340252842
90118,0,0.071283694
90119,0,0.072881367
90120,0,0.082155181
90121,0,0.071969848
90122,0,0.115954077
90123,0,0.075118891
90124,0,0.091003631
90125,0,0.175012483
90126,0,0.054324805
90127,0,0.065808755
90128,0,0.100387938
90129,0,0.067562196
90130,0,0.069545943
90131,0,0.073006501
90132,0,0.059808366
90133,0,0.084788128
90134,0,0.051729984
90135,0,0.152094752
90136,0,0.068698547
90137,0,0.065092965
90138,1,0.342791862
90139,0,0.117275215
90140,0,0.062039154
90141,1,0.364919193
90142,1,0.259517769
90143,0,0.067668559
90144,0,0.105057201
90145,0,0.174942659
90146,0,0.054337587
90147,0,0.183470831
90148,0,0.066843777
90149,0,0.06203228
90150,0,0.067916808
90151,0,0.127480624
90152,1,0.298809065
90153,0,0.098740381
90154,0,0.167829133
90155,0,0.067557736
90156,1,0.294876016
90157,0,0.078494957
90158,0,0.089052765
90159,0,0.06509653
90160,0,0.085268212
90161,0,0.090058154
90162,0,0.076862183
90163,0,0.062831844
90164,0,0.071474275
90165,1,0.267020589
90166,0,0.097427934
90167,0,0.148548188
90168,1,0.233117649
90169,0,0.073455085
90170,0,0.05932645
90171,0,0.081738606
90172,0,0.094912082
90173,0,0.084191321
90174,0,0.07704143
90175,0,0.074464566
90176,0,0.059789738
90177,0,0.060576495
90178,0,0.132899766
90179,0,0.180629565
90180,0,0.145657379
90181,0,0.119913446
90182,0,0.108494951
90183,0,0.059059481
90184,0,0.074522503
90185,0,0.062340866
90186,0,0.054409746
90187,0,0.104640168
90188,1,0.218374157
90189,0,0.056983063
90190,0,0.08037877
90191,0,0.075144233
90192,0,0.070704373
90193,0,0.064169328
90194,0,0.061308544
90195,0,0.060854488
90196,0,0.147433686
90197,0,0.043632977
90198,0,0.067358061
90199,0,0.064253598
90200,0,0.076014488
90201,0,0.106243871
90202,0,0.112183426
90203,0,0.074590928
90204,0,0.128138577
90205,0,0.062129002
90206,0,0.088903669
90207,0,0.063209866
90208,0,0.20585856
90209,1,0.329510616
90210,0,0.087362944
90211,0,0.136219834
90212,0,0.070825496
90213,0,0.049398843
90214,0,0.130670481
90215,0,0.065929871
90216,0,0.06378196
90217,0,0.070071566
90218,0,0.08127838
90219,0,0.093291443
90220,0,0.089819172
90221,1,0.285066045
90222,0,0.110959511
90223,0,0.090127022
90224,0,0.120144029
90225,0,0.141061336
90226,0,0.05325792
90227,0,0.067977716
90228,0,0.065380279
90229,0,0.106350591
90230,0,0.073099177
90231,0,0.074840279
90232,0,0.105835316
90233,0,0.088670969
90234,0,0.128874588
90235,0,0.064439223
90236,0,0.121462263
90237,0,0.093382519
90238,0,0.136811995
90239,0,0.047624563
90240,0,0.122453906
90241,0,0.066859201
90242,0,0.129146201
90243,0,0.068386261
90244,0,0.126970376
90245,0,0.054507319
90246,1,0.223588992
90247,0,0.105530971
90248,0,0.086696904
90249,0,0.053326325
90250,0,0.054529031
90251,1,0.254214971
90252,0,0.066536609
90253,0,0.078245151
90254,0,0.090660203
90255,1,0.356501475
90256,0,0.215392842
90257,0,0.107782845
90258,0,0.157758674
90259,0,0.085452603
90260,0,0.075986185
90261,0,0.086173266
90262,0,0.093346461
90263,0,0.067965427
90264,0,0.081544532
90265,0,0.052403066
90266,0,0.07254695
90267,0,0.048160744
90268,0,0.134078873
90269,0,0.067977716
90270,0,0.072344694
90271,0,0.111158756
90272,0,0.06944356
90273,0,0.140519749
90274,0,0.068331673
90275,0,0.092835042
90276,0,0.086558078
90277,0,0.089829654
90278,0,0.06097617
90279,0,0.104205307
90280,0,0.208550604
90281,0,0.111290571
90282,0,0.179848525
90283,0,0.207625123
90284,0,0.079229332
90285,0,0.115287025
90286,0,0.096309214
90287,0,0.08272274
90288,0,0.091391943
90289,0,0.211975292
90290,0,0.074711917
90291,0,0.077297397
90292,0,0.060144856
90293,0,0.060036897
90294,0,0.118438761
90295,1,0.235207173
90296,0,0.066629656
90297,0,0.100554159
90298,0,0.093114113
90299,0,0.061001262
90300,0,0.054690941
90301,0,0.061649812
90302,0,0.073092177
90303,0,0.10935148
90304,0,0.059053144
90305,0,0.089519831
90306,0,0.060679379
90307,0,0.049395183
90308,0,0.19200546
90309,0,0.063939755
90310,0,0.064878711
90311,0,0.094010203
90312,0,0.118496482
90313,1,0.292338126
90314,0,0.076225224
90315,0,0.047423394
90316,0,0.025451363
90317,0,0.066843777
90318,0,0.067790408
90319,0,0.069302087
90320,0,0.074938801
90321,0,0.099167833
90322,1,0.38407074
90323,0,0.117807741
90324,0,0.104017011
90325,0,0.200332287
90326,0,0.082763619
90327,0,0.091395425
90328,0,0.081755475
90329,0,0.083096748
90330,0,0.081460621
90331,0,0.061607386
90332,0,0.065662253
90333,0,0.056354291
90334,0,0.205218617
90335,0,0.205212511
90336,1,0.261214049
90337,0,0.063662247
90338,0,0.076143719
90339,0,0.065956395
90340,1,0.239320699
90341,0,0.147785393
90342,0,0.066629656
90343,0,0.094312086
90344,0,0.045999715
90345,0,0.086252936
90346,0,0.138052208
90347,0,0.151028193
90348,0,0.166203729
90349,0,0.090377768
90350,0,0.159749974
90351,0,0.129893505
90352,0,0.081117856
90353,0,0.065435481
90354,0,0.199654246
90355,0,0.094078954
90356,0,0.118410151
90357,0,0.017040518
90358,0,0.063241322
90359,0,0.057802984
90360,1,0.219879482
90361,0,0.117501717
90362,0,0.073998549
90363,0,0.055595172
90364,0,0.08448095
90365,0,0.194758152
90366,0,0.121390513
90367,0,0.112778005
90368,0,0.042567864
90369,0,0.135994368
90370,1,0.280995544
90371,1,0.525157879
90372,0,0.058156195
90373,0,0.096668299
90374,1,0.345926017
90375,1,0.288404826
90376,0,0.062093538
90377,0,0.094068477
90378,0,0.074898318
90379,0,0.066759791
90380,0,0.071671646
90381,0,0.050782697
90382,0,0.06480563
90383,0,0.127431391
90384,0,0.084287956
90385,0,0.08904285
90386,0,0.102091257
90387,0,0.153112429
